Country,Year,Region,Type,Energy consumption (in Exajoules)
United Kingdom,2004,Europe ,Biofuel,0.0006186202041534673
Other Europe,2004,Europe ,Biofuel,0.001367984940839332
CIS,2004,CIS,Biofuel,0.0
Middle East,2004,Middle East,Biofuel,0.00044327568284166594
Africa,2004,Africa,Biofuel,0.002292318666591249
Australia,2004,Asia Pacific,Biofuel,0.0
China,2004,Asia Pacific,Biofuel,0.02149348111954053
India,2004,Asia Pacific,Biofuel,0.03124168787137433
Indonesia,2004,Asia Pacific,Biofuel,0.002891689027397133
South Korea,2004,Asia Pacific,Biofuel,0.000230274
Thailand,2004,Asia Pacific,Biofuel,0.000134
Other Asia Pacific,2004,Asia Pacific,Biofuel,0.0010741795725813454
Canada,2005,North America,Biofuel,0.00716358585858586
Mexico,2005,North America,Biofuel,0.0034908517653394976
US,2005,North America,Biofuel,0.3383113743102882
Argentina,2005,S. & Cent. America,Biofuel,0.0
Brazil,2005,S. & Cent. America,Biofuel,0.2829784649488213
Colombia,2005,S. & Cent. America,Biofuel,0.0006150242234986628
Other S. & Cent. America,2005,S. & Cent. America,Biofuel,0.032743656568181595
Austria,2005,Europe ,Biofuel,0.003404
Belgium,2005,Europe ,Biofuel,0.0
Finland,2005,Europe ,Biofuel,0.0
France,2005,Europe ,Biofuel,0.023700260707000532
Germany,2005,Europe ,Biofuel,0.07178341666757747
Italy,2005,Europe ,Biofuel,0.006957946197079458
Netherlands,2005,Europe ,Biofuel,0.0
Poland,2005,Europe ,Biofuel,0.0020652543259143826
Portugal,2005,Europe ,Biofuel,0.0
Spain,2005,Europe ,Biofuel,0.010589388745089714
Sweden,2005,Europe ,Biofuel,0.006074388576520922
United Kingdom,2005,Europe ,Biofuel,0.002916442773689039
Other Europe,2005,Europe ,Biofuel,0.0009087442398045641
CIS,2005,CIS,Biofuel,0.0
Middle East,2005,Middle East,Biofuel,0.0006545164353361938
Africa,2005,Africa,Biofuel,0.0008743770875546799
Australia,2005,Asia Pacific,Biofuel,0.0008435404040404043
China,2005,Asia Pacific,Biofuel,0.030151032210363894
India,2005,Asia Pacific,Biofuel,0.030045373491907088
Indonesia,2005,Asia Pacific,Biofuel,0.003685962319772415
South Korea,2005,Asia Pacific,Biofuel,0.0005610312000000001
Thailand,2005,Asia Pacific,Biofuel,0.003889172958158947
Other Asia Pacific,2005,Asia Pacific,Biofuel,0.0008323336401209048
Canada,2006,North America,Biofuel,0.00722871358564428
Mexico,2006,North America,Biofuel,0.00356227202748751
US,2006,North America,Biofuel,0.4741203824553884
Argentina,2006,S. & Cent. America,Biofuel,0.0
Brazil,2006,S. & Cent. America,Biofuel,0.26395439977845553
Colombia,2006,S. & Cent. America,Biofuel,0.0051806275854911245
Other S. & Cent. America,2006,S. & Cent. America,Biofuel,0.02579389995803194
Austria,2006,Europe ,Biofuel,0.0122285
Belgium,2006,Europe ,Biofuel,0.0
Finland,2006,Europe ,Biofuel,2.68e-05
France,2006,Europe ,Biofuel,0.028701798980788062
Germany,2006,Europe ,Biofuel,0.11447551528397938
Italy,2006,Europe ,Biofuel,0.007841460104698666
Netherlands,2006,Europe ,Biofuel,0.0016754090187072756
Poland,2006,Europe ,Biofuel,0.0037665132194519045
Portugal,2006,Europe ,Biofuel,0.002982126
Spain,2006,Europe ,Biofuel,0.007012406286247688
Sweden,2006,Europe ,Biofuel,0.007111832621467572
United Kingdom,2006,Europe ,Biofuel,0.007427549828596669
Other Europe,2006,Europe ,Biofuel,0.007051616694122773
CIS,2006,CIS,Biofuel,0.0
Middle East,2006,Middle East,Biofuel,0.00035911992109220867
Africa,2006,Africa,Biofuel,0.0002602784042574894
Australia,2006,Asia Pacific,Biofuel,0.0027331212121212123
China,2006,Asia Pacific,Biofuel,0.04356916185052685
India,2006,Asia Pacific,Biofuel,0.03191565761127275
Indonesia,2006,Asia Pacific,Biofuel,0.003279582503382466
South Korea,2006,Asia Pacific,Biofuel,0.0022315644
Thailand,2006,Asia Pacific,Biofuel,0.00718962527023701
Other Asia Pacific,2006,Asia Pacific,Biofuel,0.0012259094600350884
Canada,2007,North America,Biofuel,0.027815619919134768
Mexico,2007,North America,Biofuel,0.0034186721116287637
US,2007,North America,Biofuel,0.598836936030746
Argentina,2007,S. & Cent. America,Biofuel,0.0
Brazil,2007,S. & Cent. America,Biofuel,0.3664589412472982
Colombia,2007,S. & Cent. America,Biofuel,0.006171916596356827
Other S. & Cent. America,2007,S. & Cent. America,Biofuel,0.01585097985270777
Austria,2007,Europe ,Biofuel,0.0142384488
Belgium,2007,Europe ,Biofuel,0.0
Finland,2007,Europe ,Biofuel,5.36e-05
France,2007,Europe ,Biofuel,0.05783297018674925
Germany,2007,Europe ,Biofuel,0.13012707510781804
Italy,2007,Europe ,Biofuel,0.007118343372689506
Netherlands,2007,Europe ,Biofuel,0.013675583544921877
Poland,2007,Europe ,Biofuel,0.004022546943283081
Portugal,2007,Europe ,Biofuel,0.005648753
Spain,2007,Europe ,Biofuel,0.006363226217226906
Sweden,2007,Europe ,Biofuel,0.007813836017657212
United Kingdom,2007,Europe ,Biofuel,0.014493387238942845
Other Europe,2007,Europe ,Biofuel,0.017307141264355508
CIS,2007,CIS,Biofuel,0.0
Middle East,2007,Middle East,Biofuel,0.00032044743270101897
Africa,2007,Africa,Biofuel,0.0028482315237211195
Australia,2007,Asia Pacific,Biofuel,0.0034771414141414143
China,2007,Asia Pacific,Biofuel,0.04703417340685831
India,2007,Asia Pacific,Biofuel,0.03569300408882629
